card,tier,frame,cik,company_name,form,section_type,filing_date,accession_number,extraction_status,reason_code,extraction_method,extraction_confidence,word_count,verdict,verdict_note
1,T1_BASE,SRS over OK rows,2488,ADVANCED MICRO DEVICES INC,8-K,EX99_PRESS_RELEASE,2018-04-25,0000002488-18-000058,OK,ok,whole_document,high,3696,CORRECT,"AMD Q1-18 release, head 'AMD Reports First Quarter 2018 Financial Results', tail is the non-GAAP free-cash-flow note. Whole exhibit, correct."
2,T1_BASE,SRS over OK rows,21344,COCA COLA CO,10-Q,MDA,2016-10-27,0000021344-16-000076,OK,ok,anchor,high,18966,CORRECT,"Head is the literal 'Item 2. Management's Discussion and Analysis...'; tail ends on the long-term-debt bullet at page 65, i.e. the end of MD&A before Item 3."
3,T1_BASE,SRS over OK rows,93410,CHEVRON CORP,10-Q,RISK_FACTORS,2022-11-03,0000093410-22-000075,OK,ok,anchor,high,59,CORRECT,59 w. The legitimate 10-Q cross-reference class: 'Information about risk factors ... does not differ materially from that set forth ... pages 20 through 25 of the company's 2021 Annual Report'. Complete section.
4,T1_BASE,SRS over OK rows,313616,DANAHER CORP /DE/,10-K,RISK_FACTORS,2021-02-25,0000313616-21-000045,OK,ok,anchor,high,14682,CORRECT,"'ITEM 1A. RISK FACTORS' head, tail ends inside the regulatory-demand risk, no Item 1B bleed."
5,T1_BASE,SRS over OK rows,769397,"Autodesk, Inc.",8-K,EX99_PRESS_RELEASE,2022-02-24,0000769397-22-000013,OK,ok,whole_document,high,5186,CORRECT,"Autodesk FY22 Q4 release; tail is the GAAP/non-GAAP EPS reconciliation table, page 15 of the exhibit."
6,T1_BASE,SRS over OK rows,813672,CADENCE DESIGN SYSTEMS INC,10-Q,RISK_FACTORS,2021-07-26,0000813672-21-000028,OK,ok,anchor,high,13297,CORRECT,'Item 1A. Risk Factors' head; tail ends on the 2024 Notes credit-rating risk.
7,T1_BASE,SRS over OK rows,1047862,CONSOLIDATED EDISON INC,8-K,EX99_PRESS_RELEASE,2024-02-15,0001047862-24-000013,OK,ok,whole_document,high,3945,CORRECT,'CON EDISON REPORTS 2023 EARNINGS'; tail is footnote b of the adjusted-earnings table.
8,T1_BASE,SRS over OK rows,1065280,NETFLIX INC,10-Q,MDA,2026-07-17,0001065280-26-000212,OK,ok,anchor,high,5769,CORRECT,'Item 2.\nManagement's Discussion and Analysis...' head; tail is the critical-accounting-estimates paragraph at page 36.
9,T1_BASE,SRS over OK rows,1075531,Booking Holdings Inc.,10-Q,MDA,2016-05-04,0001075531-16-000099,OK,ok,anchor,high,11643,CORRECT,Booking 10-Q MD&A; tail is the forward-looking-statements close that Booking places at the END of MD&A ('at the end of Management's Discussion and Analysis ... in this Quarterly Report' per the head).
10,T1_BASE,SRS over OK rows,1099590,MERCADOLIBRE INC,8-K,EX99_PRESS_RELEASE,2015-08-05,0001171843-15-004374,OK,ok,whole_document,high,4024,CORRECT,MercadoLibre Q2-15 release; tail is the adjusted-EPS table plus IR contact block.
11,T1_BASE,SRS over OK rows,49071,HUMANA INC,8-K,EX99_PRESS_RELEASE,2016-08-03,0001193125-16-669144,OK,ok,whole_document,high,10826,CORRECT,"Humana Q2-16 release; tail is the FY guidance membership bullets, page 24."
12,T1_BASE,SRS over OK rows,6769,APACHE CORP,8-K,EX99_PRESS_RELEASE,2017-05-04,0001193125-17-157723,OK,ok,whole_document,high,4546,CORRECT,"Apache Q1-17 release, complete. BUT rendered ONE WORD PER LINE ('Delivered\nfirst-quarter\nproduction\nof\n481,000') -> 4,546 words yield 1 prose paragraph, prose_share 0.0101. Extraction correct; ZERO labeling chunks. Named class: word-per-line rendering."
13,T1_BASE,SRS over OK rows,1321655,Palantir Technologies Inc.,10-Q,RISK_FACTORS,2022-08-08,0001321655-22-000016,OK,ok,anchor,high,42268,CORRECT,"'ITEM 1A. RISK FACTORS' head, 42,268 w, tail on FX risk. Palantir's real 10-Q Item 1A."
