card,tier,frame,cik,company_name,form,section_type,filing_date,accession_number,extraction_status,reason_code,extraction_method,extraction_confidence,word_count,verdict,verdict_note
41,T3_EXT,"§9.4(3) one-time extension, seed 20260828: every reason_code not in T3 (one each) + SRS fill",32604,EMERSON ELECTRIC CO,10-Q,MDA,2016-08-03,0000032604-16-000097,FAIL,no_toc_and_no_heading_match,none,low,0,WRONGLY-FAILED,"Emerson 10-Q 2016-Q3. Heading present as ""Items 2 and 3.\nManagement's Discussion and Analysis of Financial Condition and Results of Operations"" (verified in cached emr-6302016x10q.htm). The PLURAL combined-item form 'Items 2 and 3.' matches neither _ITEM_LABEL_PREFIX_RE nor the fallback heading pattern. Dialect D10, heading variant."
42,T3_EXT,"§9.4(3) one-time extension, seed 20260828: every reason_code not in T3 (one each) + SRS fill",320187,"NIKE, Inc.",10-Q,MDA,2025-12-30,0000320187-25-000151,FLAGGED,head_foreign_item,anchor,medium,666,WRONG-SECTION,"NIKE 10-Q 2025-Q2 'MDA' slice is Part II: 'ITEM 1A. RISK FACTORS ... ITEM 2. UNREGISTERED SALES ... ITEM 5. OTHER INFORMATION ... ITEM 6. EXHIBITS ... SIGNATURES'. 666 w. Caught by THREE flags (head_foreign_item + head_keyword_absent + below_length_floor) at medium confidence -- the C14 D4 class, guard working."
43,T3_EXT,"§9.4(3) one-time extension, seed 20260828: every reason_code not in T3 (one each) + SRS fill",32604,EMERSON ELECTRIC CO,8-K,8K_BODY,2021-10-12,0000950103-21-015731,FLAGGED,earnings_item202_prefix_large,item202_slice,medium,2062,CORRECT,"Emerson 8-K 2021-10-12. Slice starts at the literal 'Item 2.02 Results of Operations and Financial Conditions.' and runs to the signature block. The dropped >4,000-char prefix was the transaction-announcement cover; flag fired correctly. prose_paras=0 (guidance tables) -- zero labeling chunks."
44,T3_EXT,"§9.4(3) one-time extension, seed 20260828: every reason_code not in T3 (one each) + SRS fill",1035267,INTUITIVE SURGICAL INC,8-K,EX99_PRESS_RELEASE,2020-04-08,0001035267-20-000071,FLAGGED,earnings_population_gate,whole_document,medium,1122,CORRECT,Intuitive Surgical 2020-04-08 'Announces Preliminary First Quarter Results'. Genuine partial/preliminary results pre-announcement -- H4 class B. Gate flag correct; text complete.
45,T3_EXT,"§9.4(3) one-time extension, seed 20260828: every reason_code not in T3 (one each) + SRS fill",1038357,PIONEER NATURAL RESOURCES CO,8-K,8K_BODY,2016-04-18,0001038357-16-000119,FLAGGED,earnings_item202_block_thin,item202_slice,medium,1129,CORRECT,"Pioneer 2016-04-18 8K_BODY. Slice starts at 'Item 2.02. Results of Operations and Financial Condition' and runs to EOD past 'Item 7.01 Regulation FD Disclosure' -- exactly R2's rule, and the reason the thin-block flag exists: the 2.02 block itself is a derivative-gains note, the substance is under 7.01."
46,T3_EXT,"§9.4(3) one-time extension, seed 20260828: every reason_code not in T3 (one each) + SRS fill",51143,INTERNATIONAL BUSINESS MACHINES CORP,10-K,MDA,2018-02-27,0001047469-18-001117,FLAGGED,mda_stub_unresolved_same_doc,incorporated_by_reference_unresolved,low,13,EMPTY-OR-BOILERPLATE,"IBM 2018 10-K, 13 w. The ENTIRE section is the heading line 'Item 7. Management's Discussion and Analysis of Financial Condition and Results of Operations' and nothing else. A heading-only slice, not a stub sentence. Correctly FLAGGED (3 flags, low confidence)."
47,T3_EXT,"§9.4(3) one-time extension, seed 20260828: every reason_code not in T3 (one each) + SRS fill",1099219,METLIFE INC,8-K,EX99_PRESS_RELEASE,2023-02-07,0001099219-23-000041,FAIL,empty_after_extraction,none,low,0,CORRECTLY-FAILED,"MetLife 0001099219-23-000041 -- one of the 12 named F2 P5 near-empty EX-99 selections, 0 chars extractable. Failing loudly by name is what F2 asked for and what T21 pins."
48,T3_EXT,"§9.4(3) one-time extension, seed 20260828: every reason_code not in T3 (one each) + SRS fill",1105705,"WARNER MEDIA, LLC",10-K,MDA,2018-02-22,0001193125-18-053619,FLAGGED,mda_stub_resolved,incorporated_by_reference_resolved,medium,47927,OVER-CAPTURED,"Warner Media 2018 10-K, 47,927 w. Head is real MD&A but reads 'MANAGEMENT'S DISCUSSION AND ANALYSIS OF RESULTS OF OPERATIONS AND FINANCIAL CONDITION - (Continued)' i.e. the resolver landed MID-section; the slice then runs past the MD&A through 'TIME WARNER INC. NOTES TO CONSOLIDATED FINANCIAL STATEMENTS - (Continued)' and ends inside the internal-control-over-financial-reporting report (Item 9A content). Resolved-stub END boundary failed. medium confidence, IN the corpus."
49,T3_EXT,"§9.4(3) one-time extension, seed 20260828: every reason_code not in T3 (one each) + SRS fill",1364742,"BlackRock Finance, Inc.",8-K,EX99_PRESS_RELEASE,2017-10-11,0001564590-17-019389,FLAGGED,earnings_supplemental_diluted,whole_document,medium,8451,CORRECT,"BlackRock Q3-17 release, complete; the supplemental flag fires on BlackRock's own AUM roll-forward appendix inside the release. Measured, not truncated (§6)."
50,T3_EXT,"§9.4(3) one-time extension, seed 20260828: every reason_code not in T3 (one each) + SRS fill",87347,SLB LIMITED/NV,10-Q,RISK_FACTORS,2018-10-24,0001564590-18-024846,FAIL,anchor_span_below_min_chars,none,low,0,WRONGLY-FAILED,"SLB 10-Q 2018-Q3. The TOC anchor 'Item_1A_Risk_Factors' RESOLVES (offset 2,716,750) but the computed span is 281 HTML chars rendering to exactly 'Item 1A. Risk Factors.' (22 chars) -- the end boundary landed before the content. The real section is the 37-word cross-reference 'As of the date of this filing, there have been no material changes from the risk factors disclosed in Part 1, Item 1A, of Schlumberger's Annual Report...'. Loud failure, but the section is present."
